series,noise,walk,edim,hurst,ksent
agen,0.9027558310299878,0.0694282754637581,14,0.5411144663799708,8.173583319339425
agfs,0.9334079918841296,0.0798232436899857,6,0.6414901745408059,7.945331459630446
agi,0.9029075143951566,0.0738478809334959,12,0.5359661463164418,8.404400330721229
agii,0.9395839006910012,0.0463446595601507,11,0.4517625792617633,8.508209414041588
agiil,0.899551030915511,0.1515959134758013,8,0.5164094298194223,8.379726568642415
agio,0.9189183000123864,0.0156122810595331,12,0.4582117115519898,8.278219824837457
agm-a,0.943394470521994,0.2290721322861222,2,0.6042512429984627,7.49564252369043
agm,0.95384490940931,0.0628654379406439,10,0.4547819737826863,8.084554587151707
agm_a,0.7777220648437253,0.0822121174130396,19,0.4976935479670286,7.246986684851394
agm_b,0.696546276557964,0.2093764181015474,18,0.3619671398750332,7.411247909035649
agn,0.9086085636571904,0.0193616205856286,10,0.4817459716812263,8.432647026787276
agnc,0.951816189440366,0.0654191283720533,14,0.6774609245912823,8.38693358909288
agncb,0.9580198400454668,0.0517277101304549,12,0.5642258146359386,8.223288581053072
ago,0.9529198020010716,0.0725039100882023,9,0.514720610253222,8.155553970657365
ago_b,0.7698323617879362,0.080735272724671,30,0.3665879541124264,7.759494406345129
ago_e,0.7589471153009695,0.1165705476547966,13,0.425817724156097,7.552269599939198
ago_f,0.7798571596752986,0.0856347328632665,21,0.4991172721692054,7.538494200283466
agro,0.8901780710934664,0.0695877957715002,13,0.4545861562140354,8.210246093007733
agrx,0.9195748061774908,0.0113931325122871,10,0.4677856592710457,8.333107130366823
agtc,0.9315015444284506,0.0524214323706773,9,0.4363808091452832,8.309938190440349
agu,0.8745051656197145,0.1192739305235036,17,0.4481056089859036,8.460361760762929
agx,0.9482079766919124,0.0961920478165168,18,0.5873291907623757,8.334869328714625
agys,0.8227966061918484,0.0399740829838761,12,0.3872340463827645,7.955643144144274
ahc,0.9096373527077168,0.0711163838353945,7,0.6832011497704795,7.668730346608473
ahgp,0.9434537620660124,0.0025069612072271,17,0.6986057147372416,8.14547064830151
ahh,0.9497543583265255,0.0703370855823419,18,0.5050825227561819,8.230216290471088
ahl,0.8889762517332767,0.0068777289712764,20,0.5033334253973023,8.145174883300962
ahl_c,0.9087423222387484,0.0631535281393562,9,0.6010285296222136,8.080016727393286
ahp,0.8872577745671358,0.1576977301149837,11,0.5246360274501624,8.43840856686024
ahpi,0.8912764480191231,0.0617893091056016,9,0.5320398657708666,7.304404613276722
aht,0.9123688860927676,0.0902824674293102,11,0.5969036752940919,8.341966222708425
aht_d,0.7882442490314985,0.1247147790893645,18,0.6636345142641357,6.877535492751776
ai,0.9385796980410586,0.0682420701852206,6,0.7358928418842089,8.225306963175917
aif,0.9681408517567734,0.0663257680281935,9,0.786957365437298,8.215028310282618
aig-ws,0.87891110400928,0.0244962678293447,13,0.3966313161073537,8.386226662319405
aig,0.8876440156678448,0.0099557345886922,11,0.3669954003140624,8.572465744805868
aimc,0.9505403097996614,0.0355566483588929,12,0.5037919387907664,8.05877618737301
ain,0.9344599827010558,0.0343603204118423,7,0.4341638357551837,8.39715393959844
ainv,0.9174552820387992,0.026202292873293,20,0.5885467660368388,8.09991594745795
air,0.9342861902639296,0.0265909798295543,14,0.5287801512023554,8.447798639424997
airi,0.9560945412063462,0.1118651303521061,8,0.5423089717076202,8.153895522891528
airt,0.8537950183704631,0.06840322020073,9,0.4598097774531567,8.190883354139311
ait,0.9523057035210852,0.0351746500892961,7,0.5047906626552952,8.371997051959262
