series,meanmape,mapegt10,std
tds,4.479522729732837,0.05982905982905983,4.262740516405201
tdw,13.05891550834606,0.4017094017094017,12.274964432992826
tdy,2.664581489011038,0.008547008547008548,1.945148930433042
tear,11.944284263774557,0.4700854700854701,10.184874060965802
tecd,5.318676946738899,0.13675213675213677,5.14020047612374
tech,4.001790787797294,0.10256410256410256,4.208863934961629
teck,7.920144291743385,0.3076923076923077,4.648612482264757
tedu,5.16429495882245,0.1282051282051282,4.575626824913759
tef,3.3843186910311536,0.0,1.996353349776524
tei,1.1518347120312533,0.008547008547008548,1.3859641532060107
tel,2.6591320532336815,0.0,1.7916216474158229
tell,15.214640536985112,0.41025641025641024,29.092112673807495
ten,4.423371463106464,0.09401709401709402,3.690064969338711
tenx,11.03401309790703,0.38461538461538464,11.820857826292517
teo,3.0847165504663816,0.042735042735042736,2.5954230951377437
tep,3.3974462128215124,0.02564102564102564,2.3663485015421197
ter,4.086018267062496,0.042735042735042736,2.905917328103333
terp,7.261139034007043,0.19658119658119658,8.144903796293013
teso,7.638752587029958,0.23931623931623933,4.823143935555814
tess,5.627723512678268,0.1452991452991453,3.897265983119634
teum,12.27539994396244,0.41025641025641024,11.620188563640506
teva,5.122958778443548,0.06837606837606838,5.12575638097438
tex,3.454776883852355,0.02564102564102564,3.6600718982645373
tfsl,2.4407471581154265,0.02564102564102564,2.1794462175292217
tfx,2.843730378015794,0.042735042735042736,3.611936303166694
tg,4.991972871741518,0.08547008547008547,5.230314377453042
tga,6.3997829199439655,0.15384615384615385,4.82341919303815
tgb,10.841469208792498,0.452991452991453,7.338857563331672
tgc,10.375512201067403,0.3076923076923077,11.14422452428596
tgen,4.710973891174654,0.06837606837606838,3.313817331163619
tgh,8.48350280167487,0.28205128205128205,6.451092925756515
tgi,8.80467810649214,0.2905982905982906,6.692710960819973
tgls,3.804794415032482,0.05982905982905983,3.590759731889614
tgna,3.5196670680495905,0.008547008547008548,2.251037438631566
tgp,6.047523441356713,0.13675213675213677,4.470197614183764
tgs,4.550195807508555,0.03418803418803419,2.487730095934205
tgt,3.093449866309743,0.03418803418803419,2.371848422114684
tgtx,9.653515431304932,0.28205128205128205,10.664506802997016
thc,7.40020246563276,0.20512820512820512,5.30172555548652
thff,2.787153369382123,0.008547008547008548,2.0608042316737576
thg,2.9600296843280542,0.017094017094017096,2.024112758514605
thga,1.1409780548476827,0.008547008547008548,1.7115516539457285
thm,11.921610270854332,0.47863247863247865,9.595029396329615
tho,3.6538337826073084,0.05982905982905983,3.476538552264719
thq,2.918592582592519,0.008547008547008548,2.716314219170377
thr,4.372810095947258,0.02564102564102564,2.2051502515611854
thrm,5.166892577653198,0.07692307692307693,2.9845562518381996
ths,3.9225432876591184,0.08547008547008547,3.918564027777488
thst,9.945310472630588,0.36752136752136755,9.177060470181864
ti-a,4.759835850883491,0.06837606837606838,2.9238205212819453
ti,4.994940079566243,0.07692307692307693,3.1504076038591657
ticc,3.528697833879454,0.017094017094017096,2.614516437563705
tif,3.0872092321775892,0.02564102564102564,2.4204445540041357
tik,6.81894618995791,0.21367521367521367,4.666763643260883
tile,3.88722714885232,0.05128205128205128,2.8689034234276742
time,6.140958118046594,0.21367521367521367,6.644944359480725
tipt,5.1705038232156415,0.05982905982905983,3.396913647245352
tis,5.696940563921323,0.1452991452991453,4.908862237189578
tisa,6.920874681360119,0.21367521367521367,5.059675710760165
tisi,8.521508760884531,0.26495726495726496,5.839559635660791
titn,5.411622996363265,0.1111111111111111,4.034723288567874
tivo,4.81856144359239,0.07692307692307693,3.0538277352627485
tjx,2.015550680103128,0.0,1.31797315770611
tk,8.548159135565609,0.37606837606837606,5.30454297133342
tkc,3.428600389793198,0.017094017094017096,2.359554346809451
tkf,4.20168350348383,0.07692307692307693,3.2521368191283053
tkr,4.231053994616332,0.042735042735042736,2.973264138615392
tlf,3.674636438263574,0.017094017094017096,2.1305025245145814
tlgt,6.231558286001936,0.21367521367521367,4.779825340001581
tli,1.1739469439009145,0.0,1.0718783621128374
tlk,2.7801302572521234,0.008547008547008548,2.231870830842594
tlp,3.232120045368833,0.008547008547008548,1.9604854425242924
tlra,7.665892413652721,0.2564102564102564,4.5127942914826455
tlrd,9.30057410931577,0.4017094017094017,5.74894904750348
tlys,8.628515542672353,0.28205128205128205,7.452566398603799
tm,2.797210803766092,0.017094017094017096,2.191432218412318
tmhc,4.323640013173142,0.06837606837606838,3.6053621017945563
tmk,2.020619641839274,0.02564102564102564,2.3205535107814708
tmk_b,0.7007493804486474,0.0,0.5283879897584643
tmo,2.664393492115483,0.03418803418803419,2.425397641986546
tmp,3.3806298161385824,0.02564102564102564,2.4046747661954764
tmq,10.338528594503968,0.47863247863247865,5.93147504993662
tmst,11.01449959147059,0.48717948717948717,6.783204822751875
tmus,2.1776840341640655,0.0,1.271336644896803
tnav,5.763145331830064,0.1282051282051282,3.442338738087544
tnc,3.9812812694050104,0.07692307692307693,3.1783160945213447
tndm,14.011682816445623,0.4358974358974359,12.429191707945611
tnet,4.788341348081585,0.10256410256410256,5.451413314502257
tnh,3.5686863467496006,0.05128205128205128,3.4539925682614245
tnk,4.596828863218601,0.06837606837606838,3.3424162595386706
tnp,4.237195586623387,0.06837606837606838,3.199866328023134
tnp_b,0.8081872721783251,0.0,0.8004525610625481
tnp_c,0.8011716876177034,0.0,0.7216526748837717
tnxp,9.468915593277512,0.3076923076923077,8.353070231311658
tol,4.11120338501455,0.042735042735042736,2.97579377841948
too,10.274642992820887,0.27350427350427353,9.92638613587681
too_a,4.972791121373036,0.10256410256410256,6.367587989858323
tops,1729.1109139984173,0.8205128205128205,3974.013115338831
torm,5.533759625078413,0.17094017094017094,3.8237178454959864
tot,2.06101632458463,0.0,1.3761411570370374
tour,4.356746879305186,0.05128205128205128,2.909764211300731
town,3.658764575199705,0.08547008547008547,3.273752608150188
towr,6.148273717829625,0.19658119658119658,4.524106944258466
tpc,6.708989629616034,0.1794871794871795,5.573403411932942
tph,5.402792633122618,0.1452991452991453,4.549069115913928
tpl,3.6458505125263243,0.02564102564102564,2.4592429874173347
tpr,3.456590990245987,0.042735042735042736,3.037098316689309
tpre,2.740869966862109,0.0,1.5761614269088795
tpvg,3.366228784101526,0.05982905982905983,3.264216661488954
tpx,6.375599937036473,0.2222222222222222,6.231151830846288
tpz,2.6578113501066656,0.0,1.5985980852332613
tr,2.259011059844701,0.0,1.3908598563955223
trc,4.84556547261457,0.08547008547008547,3.3144136711268337
trcb,2.561791602935883,0.0,1.7562321399927483
trch,19.14463548139074,0.49572649572649574,27.096936155440414
trco,3.2408603973576957,0.03418803418803419,2.625308319403412
trec,4.853818426085773,0.05128205128205128,2.89203514231683
tree,7.7744605212539915,0.20512820512820512,7.9043383935980716
trex,5.580238606884565,0.1794871794871795,5.600045351163285
trgp,5.7315240542890935,0.13675213675213677,5.6512839028389585
tri,2.1687375361932575,0.017094017094017096,2.1660722882672623
trib,4.742957614717021,0.05128205128205128,5.190380580806933
tril,10.014264470202745,0.3418803418803419,9.498240646511736
trip,3.985646483919283,0.03418803418803419,2.837122716547445
trk,3.971004552377933,0.07692307692307693,3.5489344771827853
trmb,3.4732332425143992,0.07692307692307693,4.222983967733546
trmk,3.6144954592382876,0.017094017094017096,2.5333706826275795
trn,5.180873819650916,0.17094017094017094,4.727422657109132
trnc,5.707940285466988,0.17094017094017094,5.769977096957452
trno,1.9916714134089935,0.0,1.473620968917694
trns,2.902123186429514,0.017094017094017096,2.1074229444264563
trov,13.169882018887105,0.5641025641025641,8.588589652158745
trow,2.5339255560437586,0.0,1.8020802892080432
trox,9.805761341946049,0.38461538461538464,6.551909149770756
trp,2.441692218107755,0.017094017094017096,1.9036482964712154
trq,5.681511633342986,0.1282051282051282,3.160735986985754
trs,5.436547329135205,0.1111111111111111,4.36708821673911
trst,3.203480927669629,0.042735042735042736,2.8765514813775375
trt,6.663044179304424,0.26495726495726496,5.547273310637231
true,7.157705523659865,0.21367521367521367,6.750863265718551
trup,4.9637130307014266,0.1111111111111111,4.112800938114721
trv,2.779213664225758,0.05128205128205128,3.0541530508779933
trvn,9.823774220592977,0.28205128205128205,9.474079112684793
trx,14.882169728210663,0.5897435897435898,13.514314231406882
trxc,13.352667798904305,0.37606837606837606,22.22772087523989
ts,4.0194134938083295,0.03418803418803419,2.5371341788779342
tsbk,2.4311345424579804,0.0,1.8671234705681194
tsc,3.2399834448317866,0.02564102564102564,2.4004932314189804
tsco,3.207576389294526,0.03418803418803419,2.652807869240987
tse,4.164243892621604,0.06837606837606838,3.661183550997278
tsem,3.7745649522663225,0.042735042735042736,2.881730358717098
tsi,0.760862041932055,0.0,0.4406022637155262
